sample_ID	nucleic_acid	volume_dna	conc_dna	well_position	plate_no	gene	sample_type	sample	amendment	frass_source	frass_treatment	frass_dose	leaf_size	shoot_biomass
1R	DNA	20	6.021	A01	P01	16S	rhizosphere	soil	no_frass	N	N	0	15.61	0.25
2R	DNA	20	3.027	B01	P01	16S	rhizosphere	soil	no_frass	N	N	0	24.00	0.4
3R	DNA	20	6.647	C01	P01	16S	rhizosphere	soil	no_frass	N	N	0	26.86	0.32
4R	DNA	20	15.262	D01	P01	16S	rhizosphere	soil	no_frass	N	N	0	24.00	0.3
5R	DNA	20	3.145	E01	P01	16S	rhizosphere	soil	no_frass	N	N	0	17.14	0.19
6R	DNA	20	2.995	F01	P01	16S	rhizosphere	soil	no_frass	N	N	0	35.27	0.65
7R	DNA	20	2.041	G01	P01	16S	rhizosphere	soil	no_frass	N	N	0	23.08	0.31
8R	DNA	20	1.371	H01	P01	16S	rhizosphere	soil	no_frass	N	N	0	21.29	0.23
9R	DNA	20	2.519	A02	P01	16S	rhizosphere	soil	no_frass	N	N	0	27.85	0.58
10R	DNA	20	1.868	B02	P01	16S	rhizosphere	soil	no_frass	N	N	0	23.08	0.31
11R	DNA	20	6.572	C02	P01	16S	rhizosphere	soil	no_frass	N	N	0	23.08	0.31
12R	DNA	20	9.076	D02	P01	16S	rhizosphere	soil	no_frass	N	N	0	25.89	0.4
13R	DNA	20	6.352	E02	P01	16S	rhizosphere	soil	no_frass	N	N	0	30.92	0.41
14R	DNA	20	7.941	F02	P01	16S	rhizosphere	soil	no_frass	N	N	0	21.29	0.23
15R	DNA	20	8.608	G02	P01	16S	rhizosphere	soil	no_frass	N	N	0	19.58	0.27
16R	DNA	20	9.812	H02	P01	16S	rhizosphere	soil	no_frass	N	N	0	19.58	0.28
17R	DNA	20	13.323	A03	P01	16S	rhizosphere	soil	no_frass	N	N	0	29.88	0.51
18R	DNA	20	7.699	B03	P01	16S	rhizosphere	soil	no_frass	N	N	0	21.29	0.25
19R	DNA	20	4.451	C03	P01	16S	rhizosphere	soil	no_frass	N	N	0	17.94	0.19
20R	DNA	20	5.273	D03	P01	16S	rhizosphere	soil	no_frass	N	N	0	15.61	0.17
21R	DNA	20	6.505	E03	P01	16S	rhizosphere	soil	frass	X	U	2	24.93	0.26
