Feature ID	Taxon	Confidence
ASV_1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_nigrescens	0.9789339526741715
ASV_2	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scopulariopsis;s__Scopulariopsis_acremonium	0.9992543786646134
ASV_3	k__Fungi;p__Rozellomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.797281718135226
ASV_4	k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes;o__GS16;f__unidentified;g__unidentified;s__unidentified	0.9999998512755579
ASV_5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica_juncea	0.9990175736635535
ASV_6	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__Naganishia_cerealis	0.8684437352097778
ASV_7	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scopulariopsis;s__Scopulariopsis_acremonium	0.9995660194203757
ASV_8	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.9998724696124853
ASV_9	Unassigned	0.6037590647356841
ASV_10	k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Chytridiaceae;g__unidentified;s__unidentified	0.9999875960831931
ASV_11	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.795179161717759
ASV_12	Unassigned	0.7423114082223496
ASV_13	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.9999991702501982
ASV_14	Unassigned	0.6901763952702258
ASV_15	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis	0.9999999443533631
ASV_16	k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Chytridiaceae;g__unidentified;s__unidentified	0.9999777206766776
ASV_17	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Trichocladium;s__Trichocladium_arxii	0.7056755203867413
ASV_18	Unassigned	0.7461542846673279
ASV_19	Unassigned	0.3614543057552386
ASV_20	k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Chytridiaceae;g__unidentified;s__unidentified	0.9999826551812573
ASV_21	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scopulariopsis;s__Scopulariopsis_acremonium	0.9990991707786383
ASV_22	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.9998532899191178
ASV_23	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica_juncea	0.9989875964239967
ASV_24	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_globalpina	0.9929125723309086
ASV_25	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__unidentified;s__unidentified	0.9999957605495293
ASV_26	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__unidentified;s__unidentified	0.8600984370694278
ASV_27	k__Protista;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8579687270102894
ASV_28	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_novae-zeelandiae	0.7622643086050077
ASV_29	k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes;o__Rhizophlyctidales;f__Sonoraphlyctidaceae;g__Sonoraphlyctis;s__Sonoraphlyctis_ranzonii	0.9949007845677531
ASV_30	Unassigned	0.5790219387767896
ASV_31	k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes;o__Rhizophlyctidales;f__Sonoraphlyctidaceae;g__Sonoraphlyctis;s__Sonoraphlyctis_ranzonii	0.7215486286942633
ASV_32	Unassigned	0.7057470148568321
ASV_33	Unassigned	0.38280248670988803
ASV_34	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.9919942235378663
ASV_35	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_humilis	0.9970257141714024
ASV_36	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.9798100648714464
ASV_37	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_nigrescens	0.8976448219406673
ASV_38	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_simplicissimum	0.9576055350273427
ASV_39	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_gamsii	0.7258607873890444
ASV_40	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudeurotium	0.9989688604192015
ASV_41	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_terrea	0.8024898153138176
ASV_42	Unassigned	0.304329213529257
ASV_43	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_phenolica	0.7394410098406446
ASV_44	k__Protista;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8337044830432969
ASV_45	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_fatshederae	0.7691547673137327
ASV_46	Unassigned	0.3565356054375809
ASV_47	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.9932327949064526
ASV_48	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_terricola	0.9999999956474853
ASV_49	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8737849573594842
ASV_50	Unassigned	0.716276269758857
ASV_51	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum;s__Cladorrhinum_brunnescens	0.8229194067016398
ASV_52	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_angusta	0.992008316745325
ASV_53	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neocosmospora;s__Neocosmospora_rubicola	0.9999177350849191
ASV_54	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_sardiniae	0.9092335370806326
ASV_55	Unassigned	0.7114581149726222
ASV_56	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_equina	0.9993299366029346
ASV_57	Unassigned	0.6640651024435194
ASV_58	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium;s__Schizothecium_carpinicola	0.9235417201945902
ASV_59	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7526405191846839
ASV_60	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla;s__Fusicolla_aquaeductuum	0.788627080838794
ASV_61	Unassigned	0.3886020398198339
ASV_62	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8173281915910859
ASV_63	Unassigned	0.497296742428891
ASV_64	Unassigned	0.6491982254397048
ASV_65	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Oomycetes_ord_Incertae_sedis;f__Lagenaceae;g__Lagena;s__unidentified	0.9974828270566751
ASV_66	Unassigned	0.717207025842858
ASV_67	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica_juncea	0.9988133303618344
ASV_68	Unassigned	0.6797407057159701
ASV_69	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Thaumatomonadida;f__Thaumatomastigidae;g__Thaumatomonas;s__unidentified	0.9593575947942174
ASV_70	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Emericellopsis;s__Emericellopsis_minima	0.9149620852485881
ASV_71	Unassigned	0.6736370289163602
ASV_72	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_globalpina	0.9943735657400969
ASV_73	Unassigned	0.3592634300743477
ASV_74	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.9999050914816953
ASV_75	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium_angustispirale	0.7167042767804254
ASV_76	Unassigned	0.5439033667067169
ASV_77	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum	0.920850714222953
ASV_78	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.9994058908502437
ASV_79	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla;s__Fusicolla_septimanifiniscientiae	0.889350065245042
ASV_80	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.9990004917003253
ASV_81	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.9999815869236047
ASV_82	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__unidentified	0.9463316000601487
ASV_83	Unassigned	0.5750024633091086
ASV_84	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7201763551259137
ASV_85	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Albifimbria;s__Albifimbria_verrucaria	0.8868779373575758
ASV_86	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.9787720446802364
ASV_87	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys	0.9962483479118626
ASV_88	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_globalpina	0.9946818646363725
ASV_89	k__Fungi	0.9323461231782817
ASV_90	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica_juncea	0.9992044389729148
ASV_91	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Hypomyces;s__unidentified	0.9846425640402742
ASV_92	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_simplicissimum	0.9827160759199478
ASV_93	Unassigned	0.69424807321769
ASV_94	Unassigned	0.5913362287200521
ASV_95	Unassigned	0.7481774184355237
ASV_96	Unassigned	0.7147461158648938
ASV_97	Unassigned	0.6814384331475691
ASV_98	Unassigned	0.5018456549644374
ASV_99	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Trichocladium;s__Trichocladium_arxii	0.7328018174177503
ASV_100	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	0.9999999076756937
ASV_101	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Debaryomyces	0.9999997026296106
ASV_102	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.992657022153701
ASV_103	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__Metarhizium_carneum	0.9999299553164415
ASV_104	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__unidentified;s__unidentified	0.9947105025799347
ASV_105	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum;s__Cladorrhinum_brunnescens	0.9000102977816303
ASV_106	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.9280138392359595
ASV_107	Unassigned	0.6110837902087134
ASV_108	Unassigned	0.743918812647232
ASV_109	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Coprinus;s__Coprinus_cordisporus	0.999999566834427
ASV_110	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Botryotrichum;s__Botryotrichum_atrogriseum	0.8050536949334963
ASV_111	Unassigned	0.5874321165260616
ASV_112	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.9965300344293989
ASV_113	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_stromaticum	0.7673385288063869
ASV_114	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.9773273833105773
ASV_115	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__unidentified	0.8307773217090973
ASV_116	Unassigned	0.3243463592743734
ASV_117	Unassigned	0.49835025100215613
ASV_118	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Emericellopsis;s__Emericellopsis_minima	0.9705223473088309
ASV_119	k__Fungi	0.7653338624208539
ASV_120	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys_oudemansii	0.7946997537638958
ASV_121	Unassigned	0.44492200645881597
ASV_122	Unassigned	0.3971293413378323
ASV_123	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_angusta	0.9982723300948924
ASV_124	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys_scaphoides	0.9531713791085058
ASV_125	k__Fungi	0.7488269772687495
ASV_126	Unassigned	0.5527452131471092
ASV_127	Unassigned	0.5678588385054831
ASV_128	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.9960042519254847
ASV_129	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__Myrmecridiaceae;g__Myrmecridium;s__Myrmecridium_schulzeri	0.9928371484432693
ASV_130	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliales_fam_Incertae_sedis;g__Vermispora;s__Vermispora_fusarina	0.9999996938260168
ASV_131	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophaeosphaeria;s__Setophaeosphaeria_sidae	0.9568483574728964
ASV_132	Unassigned	0.6476908091636002
ASV_133	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys_xiangyunensis	0.9990050068722205
ASV_134	Unassigned	0.7149890466066926
ASV_135	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__Metarhizium_carneum	0.9996127454889482
ASV_136	Unassigned	0.3405059468655779
ASV_137	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_simplicissimum	0.9491314745946731
ASV_138	Unassigned	0.5294884451790836
ASV_139	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7204176584889623
ASV_140	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium	0.9959275689793692
ASV_141	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__unidentified;s__unidentified	0.7329196001311838
ASV_142	k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__unidentified;g__unidentified;s__unidentified	0.7154207753108146
ASV_143	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum;s__Cladorrhinum_brunnescens	0.8088838571844145
ASV_144	Unassigned	0.3002916108303968
ASV_145	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_globalpina	0.9963425623349655
ASV_146	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8244019558701491
ASV_147	Unassigned	0.5313704378270758
ASV_148	Unassigned	0.5702657628976286
ASV_149	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__Cadophora_orchidicola	0.8694931433674676
ASV_150	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Tricladiaceae;g__Mycofalcella;s__Mycofalcella_calcarata	0.8797582628755368
ASV_151	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_angustiovoidea	0.9862204980182145
ASV_152	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_globalpina	0.989887355575994
ASV_153	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_equina	0.892169767760763
ASV_154	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__Talaromyces_atricola	0.8508510394375008
ASV_155	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__unidentified;s__unidentified	0.8705305906749006
ASV_156	Unassigned	0.5714618216040552
ASV_157	Unassigned	0.7282229564590037
ASV_158	k__Fungi	0.9783805875498157
ASV_159	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Thaumatomonadida;f__Thaumatomastigidae;g__Thaumatomonas;s__unidentified	0.9974125604219966
ASV_160	Unassigned	0.6034920550861952
ASV_161	k__Fungi	0.9826709394589248
ASV_162	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola	0.8873191223693181
ASV_163	Unassigned	0.5987912251585871
ASV_164	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Eremomycetaceae;g__Arthrographis;s__Arthrographis_kalrae	0.800780833657297
ASV_165	Unassigned	0.7195391895464315
ASV_166	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9530849433437559
ASV_167	Unassigned	0.4158803934495581
ASV_168	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__unidentified;s__unidentified	0.702245571473214
ASV_169	Unassigned	0.31588499756721744
ASV_170	Unassigned	0.5213502201366429
ASV_171	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Apiosporaceae;g__Arthrinium;s__Arthrinium_malaysianum	0.9916370808192312
ASV_172	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Paraphaeosphaeria	0.9998927992762199
ASV_173	Unassigned	0.5156481286671406
ASV_174	Unassigned	0.5040010178533745
ASV_175	Unassigned	0.6201988567227266
ASV_176	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_chlamydosporicum	0.7692585921594292
ASV_177	k__Fungi	0.8737111917303402
ASV_178	k__Viridiplantae;p__Bryophyta;c__Bryopsida;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9999874943009761
ASV_179	Unassigned	0.39447436121689694
ASV_180	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Thaumatomonadida;f__unidentified;g__unidentified;s__unidentified	0.9757741104176274
ASV_181	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__unidentified;g__unidentified;s__unidentified	0.9064919169615694
ASV_182	k__Fungi;p__Chytridiomycota;c__Lobulomycetes;o__Lobulomycetales;f__Lobulomycetaceae;g__Lobulomyces;s__unidentified	0.9894424390115946
ASV_183	k__Fungi;p__Rozellomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9687826566852991
ASV_184	k__Viridiplantae;p__Bryophyta;c__Bryopsida;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9999793863712059
ASV_185	Unassigned	0.7145691553567148
ASV_186	Unassigned	0.6721676561698928
ASV_187	k__Metazoa;p__Platyhelminthes;c__Trematoda;o__Plagiorchiida;f__Heterophyidae;g__Tetracladium;s__unidentified	0.7207225142192071
ASV_188	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium;s__Schizothecium_carpinicola	0.9651847830663065
ASV_189	k__Fungi	0.8779256703984395
ASV_190	Unassigned	0.6181734549801619
ASV_191	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis_semitalis	0.980728898566065
ASV_192	Unassigned	0.6071967087241175
ASV_193	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica_juncea	0.9990377902134975
ASV_194	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Cephalotrichum;s__Cephalotrichum_asperulum	0.7295687507181674
